"","institution","collection","recordsets","institution_code","collection_code","collection_uuid","collection_lsid","collection_url","collection_catalog_url","contact","contact_role","contact_email","taxonomic_coverage","geographic_range","collection_size","mailing_address","mailing_city","mailing_state","mailing_zip","physical_address","physical_city","physical_state","physical_zip","update_url","lat","lon"
"11","Academy of Natural Sciences of Drexel University","Ornithology","","ANSP","ORN","urn:uuid:b920c6c4-7fe7-4d28-bcf5-64905638cdcc","NA","http://www.ansp.org/research/systematics-evolution/collections/ornithology/","http://clade.ansp.org/ornithology","Nate Rice","Collections Manager","rice@ansp.org","All bird orders and families represented, most bird species represented in the collection.","Worldwide in scope. Recent data-rich specimens and related tissue samples from North America, Australia, western Africa, and southeastern Asia.",NA,"Department of Ornithology, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:b920c6c4-7fe7-4d28-bcf5-64905638cdcc&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Ornithology&entry.4068754=ANSP&entry.1582913154=ORN&entry.1336841557=http://www.ansp.org/research/systematics-evolution/collections/ornithology/&entry.103879345=http://clade.ansp.org/ornithology&entry.107456176=Worldwide in scope. Recent data-rich specimens and related tissue samples from North America, Australia, western Africa, and southeastern Asia.&entry.879476273=All bird orders and families represented, most bird species represented in the collection. &entry.417603227=210000 specimens, 20000 tissue samples&entry.1321049572=Nate Rice&entry.1687847097=Collections Manager&entry.1086198428=rice@ansp.org&entry.246950189=Department of Ornithology, 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=Logan Square&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957967,-75.176651
"12","Academy of Natural Sciences of Drexel University","Rotifera","","ANSP","","urn:uuid:c84d19b6-69bd-4453-aa68-389ea5c3ee28","NA","http://www.ansp.org/research/systematics-evolution/collections/rotifera/","http://rotifer.ansp.org/rotifer.php","Jason Weintraub","Collections Manager","weintraub@ansp.org","","",1935,"Department of Entomology , 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:c84d19b6-69bd-4453-aa68-389ea5c3ee28&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Rotifera&entry.4068754=ANSP&entry.1582913154=&entry.1336841557=http://www.ansp.org/research/systematics-evolution/collections/rotifera/&entry.103879345=http://rotifer.ansp.org/rotifer.php&entry.107456176=&entry.879476273=&entry.417603227=1935&entry.1321049572=Jason Weintraub&entry.1687847097=Collections Manager&entry.1086198428=weintraub@ansp.org&entry.246950189=Department of Entomology , 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=Logan Square&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957967,-75.176651
"13","Academy of Natural Sciences of Drexel University","Vertebrate Paleontology","","ANSP","","urn:uuid:ffa705aa-ff2a-4dea-aadd-147e8e056651","NA","http://www.ansp.org/research/systematics-evolution/collections/vertebrate-paleontology/","NA","Ned Gilmore","Collections Manager","egilmore@ansp.org","Late Devonian","",22000,"Department of Vertebrate Zoology, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:ffa705aa-ff2a-4dea-aadd-147e8e056651&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Vertebrate Paleontology&entry.4068754=ANSP&entry.1582913154=&entry.1336841557=http://www.ansp.org/research/systematics-evolution/collections/vertebrate-paleontology/&entry.103879345=NA&entry.107456176=&entry.879476273=Late Devonian&entry.417603227=22000&entry.1321049572=Ned Gilmore&entry.1687847097=Collections Manager&entry.1086198428=egilmore@ansp.org&entry.246950189=Department of Vertebrate Zoology, 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=Logan Square&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957967,-75.176651
"14","Academy of Natural Sciences of Drexel University","Invertebrate Paleontology","","ANSP","","urn:uuid:466a9091-0def-41db-b362-1578f040e110","NA","","ANSP","Paul Callomon","Collections Manager","callomon@ansp.org","Cenozoic and Cretaceous Mollusks","US Atlantic and Gulf Coastal plains",106000,"Department of Invertebrate Zoology, 1900 Benjamin Franklin Parkway","Philadelphia","Pennsylvania","19103","Logan Square","Philadelphia","Pennsylvania","19103","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:466a9091-0def-41db-b362-1578f040e110&entry.326174790=Academy of Natural Sciences of Drexel University&entry.2031121141=Invertebrate Paleontology&entry.4068754=ANSP&entry.1582913154=&entry.1336841557=&entry.103879345=ANSP&entry.107456176=US Atlantic and Gulf Coastal plains&entry.879476273=Cenozoic and Cretaceous Mollusks&entry.417603227=106000&entry.1321049572=Paul Callomon&entry.1687847097=Collections Manager&entry.1086198428=callomon@ansp.org&entry.246950189=Department of Invertebrate Zoology, 1900 Benjamin Franklin Parkway&entry.1584255348=Philadelphia&entry.1966582743=Pennsylvania&entry.256217142=19103&entry.447546773=Logan Square&entry.1565624766=Philadelphia&entry.1920508789=Pennsylvania&entry.1022645685=19103",39.957967,-75.176651
"15","Adams State College","Herbarium","","ALAM<IH>","","urn:uuid:7b89550e-1efc-4192-8564-13f07d5600b2","urn:lsid:biocol.org:col:12546","","","Catherine Kleier","","","","",NA,"Biology Department","Alamosa","Colorado","81102","Porter Hall","Alamosa","Colorado","81102","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:7b89550e-1efc-4192-8564-13f07d5600b2&entry.326174790=Adams State College&entry.2031121141=Herbarium&entry.4068754=ALAM<IH>&entry.1582913154=&entry.1336841557=&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Catherine Kleier&entry.1687847097=&entry.1086198428=&entry.246950189=Biology Department&entry.1584255348=Alamosa&entry.1966582743=Colorado&entry.256217142=81102&entry.447546773=Porter Hall&entry.1565624766=Alamosa&entry.1920508789=Colorado&entry.1022645685=81102",37.175176,-107.71381
"16","Adrian College","Herbarium","","ADR<IH>","","urn:uuid:84354dd1-f679-4bbc-a7ce-dee4794bcde2","urn:lsid:biocol.org:col:12547","","","","","","","",NA,"Biology Department","Adrian","Michigan","49221","","Adrian","Michigan","49221","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:84354dd1-f679-4bbc-a7ce-dee4794bcde2&entry.326174790=Adrian College&entry.2031121141=Herbarium&entry.4068754=ADR<IH>&entry.1582913154=&entry.1336841557=&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=&entry.1687847097=&entry.1086198428=&entry.246950189=Biology Department&entry.1584255348=Adrian&entry.1966582743=Michigan&entry.256217142=49221&entry.447546773=&entry.1565624766=Adrian&entry.1920508789=Michigan&entry.1022645685=49221",41.889943,-84.065892
"17","Alaska State Museum","Herbarium","","JBCC<IH>","","urn:uuid:fe858355-57c1-415a-8f1b-86ddf6b884a8","","http://www.museums.state.ak.us/asm/asmhome.html","http://education.alaska.gov/collections/voyager.cfm","Scott Carrlee","Curator of Museum Services","scott.carrlee@alaska.gov","","",NA,"395 Whittier St.","Juneau","Alaska","99801-1718","395 Whittier St.","Juneau","Alaska","99801-1718","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:fe858355-57c1-415a-8f1b-86ddf6b884a8&entry.326174790=Alaska State Museum&entry.2031121141=Herbarium&entry.4068754=JBCC<IH>&entry.1582913154=&entry.1336841557=http://www.museums.state.ak.us/asm/asmhome.html&entry.103879345=http://education.alaska.gov/collections/voyager.cfm&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Scott Carrlee&entry.1687847097=Curator of Museum Services&entry.1086198428=scott.carrlee@alaska.gov&entry.246950189=395 Whittier St.&entry.1584255348=Juneau&entry.1966582743=Alaska&entry.256217142=99801-1718&entry.447546773=395 Whittier St.&entry.1565624766=Juneau&entry.1920508789=Alaska&entry.1022645685=99801-1718",58.300181,-134.414448
"18","Albion College","Herbarium","","ALBC<IH>","","urn:uuid:21284742-f3e0-4e3b-869e-441644c55d34","urn:lsid:biocol.org:col:12572","","","James D. Skean","","","","",NA,"Biology Department","Albion","Michigan","49224","609 Porter Street.","Albion","Michigan","49224","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:21284742-f3e0-4e3b-869e-441644c55d34&entry.326174790=Albion College&entry.2031121141=Herbarium&entry.4068754=ALBC<IH>&entry.1582913154=&entry.1336841557=&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=James D. Skean&entry.1687847097=&entry.1086198428=&entry.246950189=Biology Department&entry.1584255348=Albion&entry.1966582743=Michigan&entry.256217142=49224&entry.447546773=609 Porter Street.&entry.1565624766=Albion&entry.1920508789=Michigan&entry.1022645685=49224",42.243854,-84.74597
"19","Alma College","Herbarium","","ALMA<IH>","","urn:uuid:b9874dd6-f3cf-437c-8ca7-d11bae9faf42","urn:lsid:biocol.org:col:12577","","","Richard A. Roeper","","","","",NA,"Biology Department","Alma","Michigan","48801-1599","614 Superior Street.","Alma","Michigan","48801-1599","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:b9874dd6-f3cf-437c-8ca7-d11bae9faf42&entry.326174790=Alma College&entry.2031121141=Herbarium&entry.4068754=ALMA<IH>&entry.1582913154=&entry.1336841557=&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=Richard A. Roeper&entry.1687847097=&entry.1086198428=&entry.246950189=Biology Department&entry.1584255348=Alma&entry.1966582743=Michigan&entry.256217142=48801-1599&entry.447546773=614 Superior Street.&entry.1565624766=Alma&entry.1920508789=Michigan&entry.1022645685=48801-1599",43.379004,-84.67264
"20","American Entomological Institute","","","AEI","","urn:uuid:ec81927a-205f-4fa1-a344-1818ae03f5bd","urn:lsid:biocol.org:col:1008","http://aei.speciesfile.org/public/site/aei/home","","David Wahl","Curator","aie@aei.cfcoxmail.com","","",NA,"3005 SW 56th Ave","Gainesville","Florida","32608-6458","3005 SW 56th Ave","Gainesville","Florida","32608-6458","https://docs.google.com/forms/d/1slWOvxuLpuPdvDihSibLQq9BPsOqPzK8Hh93zCW3dRI/viewform?entry.823080433=the+collection+is+already+in+the+list&entry.764919322=urn:uuid:ec81927a-205f-4fa1-a344-1818ae03f5bd&entry.326174790=American Entomological Institute&entry.2031121141=&entry.4068754=AEI&entry.1582913154=&entry.1336841557=http://aei.speciesfile.org/public/site/aei/home&entry.103879345=&entry.107456176=&entry.879476273=&entry.417603227=&entry.1321049572=David Wahl&entry.1687847097=Curator&entry.1086198428=aie@aei.cfcoxmail.com&entry.246950189=3005 SW 56th Ave&entry.1584255348=Gainesville&entry.1966582743=Florida&entry.256217142=32608-6458&entry.447546773=3005 SW 56th Ave&entry.1565624766=Gainesville&entry.1920508789=Florida&entry.1022645685=32608-6458",29.59987,-82.365866
